,anis,cannelle,carvi,"clou
girofle",cubebe,cumin,curcuma,gingembre,paprika,poivre noir,safran
anis,0.0,32.87345410857706,17.388182858986802,81.35405895201484,16.593296345620296,37.71611598981613,64.9490173876977,38.445738127637924,42.0200260847653,91.1126192474939,11.806718795235847
cannelle,32.87345410857706,0.0,33.659014055310195,50.36916024222222,44.72493757700146,66.00294923947307,91.21293713615611,68.94092741628975,66.20084608370804,59.99201519526194,31.480690074210134
carvi,17.388182858986802,33.659014055310195,0.0,83.83262293952053,14.40708773033203,33.11096595936477,57.581780600664366,37.24142512562717,33.3148232778692,93.23226516026747,7.228155500214226
"clou
girofle",81.35405895201484,50.36916024222222,83.83262293952053,0.0,94.88500233661867,116.31938667390692,141.35679379241063,118.89163147104769,116.3553866896017,10.136048872275788,81.36671074733978
cubebe,16.593296345620296,44.72493757700146,14.40708773033203,94.88500233661867,0.0,21.82073339088989,48.74761025836517,24.407707619327606,25.51299411475789,104.55005013985905,14.912545305156051
cumin,37.71611598981613,66.00294923947307,33.11096595936477,116.31938667390692,21.82073339088989,0.0,27.482219261936052,8.193238851134929,11.920404007569113,125.87918241876837,35.36246639795932
curcuma,64.9490173876977,91.21293713615611,57.581780600664366,141.35679379241063,48.74761025836517,27.482219261936052,0.0,29.632149835114923,26.67098430428013,150.65164616466691,60.98226106973006
gingembre,38.445738127637924,68.94092741628975,37.24142512562717,118.89163147104769,24.407707619327606,8.193238851134929,29.632149835114923,0.0,19.85036009225465,128.50230847654612,38.03294312083944
paprika,42.0200260847653,66.20084608370804,33.3148232778692,116.3553866896017,25.51299411475789,11.920404007569113,26.67098430428013,19.85036009225465,0.0,125.83397347063942,37.72379858406049
poivre noir,91.1126192474939,59.99201519526194,93.23226516026747,10.136048872275788,104.55005013985905,125.87918241876837,150.65164616466691,128.50230847654612,125.83397347063942,0.0,90.81553065343512
safran,11.806718795235847,31.480690074210134,7.228155500214226,81.36671074733978,14.912545305156051,35.36246639795932,60.98226106973006,38.03294312083944,37.72379858406049,90.81553065343512,0.0
